category,asset,number_of_events,mean_abnormal_return_1d,median_abnormal_return_1d,mean_absolute_abnormal_return_1d,standard_deviation_1d,mean_abnormal_return_3d,mean_abnormal_return_5d,positive_reaction_rate,direction_accuracy,mean_volatility_change
Demand shock,Natural Gas,2,0.05495135162289805,0.05495135162289805,0.05495135162289805,0.02973267619387825,0.11424015247468416,0.04350111969767029,1.0,0.5,-0.06574179348138026
Demand shock,Airlines ETF,2,-0.041454430971190614,-0.041454430971190614,0.041454430971190614,0.043637549596779214,-0.02849236735963695,-0.12999179717418496,0.0,0.5,0.6633912445086276
Demand shock,WTI Crude,2,0.01766485997105105,0.01766485997105105,0.03313684184566612,0.04686257115235333,-0.001304949743211714,-0.09990154288042791,0.5,0.0,0.17908567743593815
Demand shock,TotalEnergies,2,-0.030012873641974802,-0.030012873641974802,0.03078610224552414,0.043538123328225035,-0.059118931653387,-0.0740179790348875,0.5,1.0,0.5407704276830252
Demand shock,Shell,2,-0.028753095589701294,-0.028753095589701294,0.028753095589701294,0.03560719239195752,-0.0773200149697405,-0.12825506246369867,0.0,0.5,0.3542563318225609
Demand shock,Oil Services ETF,2,-0.028046533974809496,-0.028046533974809496,0.028046533974809496,0.033089474539024034,-0.028604898954118885,-0.06591195870843625,0.0,0.5,0.38153954646910215
Demand shock,Brent Crude,2,0.0014089867858405603,0.0014089867858405603,0.02246062683626504,0.031764123091247126,-0.019348640662479266,-0.061904123039718595,0.5,0.0,-0.03899291753778161
Demand shock,Energy ETF,2,-0.02068056300775134,-0.02068056300775134,0.02068056300775134,0.011854067133207812,-0.03307859461312407,-0.08445587403111954,0.0,0.5,0.42431477300836096
Demand shock,BP,2,-0.01843534873526126,-0.01843534873526126,0.01843534873526126,0.01582640066769589,-0.05967475675358347,-0.10555181796816637,0.0,0.5,0.2393201650452846
Demand shock,ExxonMobil,2,-0.009534047572725746,-0.009534047572725746,0.009534047572725746,0.012910082462437704,-0.021910306206222918,-0.03728838276880442,0.0,0.5,0.3048655540922073
Demand shock,Chevron,2,0.00610936993951422,0.00610936993951422,0.008031080926758027,0.011357663567137088,-0.03277194353639873,-0.11436110896261154,0.5,0.0,0.7019334638673774
Demand shock,Utilities ETF,2,-0.0032956196594686737,-0.0032956196594686737,0.0032956196594686737,0.0027778513648917813,-0.012197758579564233,0.021000606987785164,0.0,0.5,0.5732469984641871
Geopolitical shock,Natural Gas,5,-0.02218607153522656,-0.0034276487872080263,0.04498769051875036,0.06268841249036484,-0.039770943629285085,-0.0759500586411496,0.4,0.4,-0.44472216926932645
Geopolitical shock,Brent Crude,5,0.002445145892189404,0.0009358649649575668,0.02026431814147467,0.03145568720221823,0.02245786204057081,0.022196669100192225,0.6,0.6,0.15652267489801536
Geopolitical shock,WTI Crude,5,0.0018445304631330207,-0.0001811806556322182,0.019981224895909967,0.03227592167668571,0.033459286817058745,0.03347032668335206,0.4,0.4,0.18644133674204894
Geopolitical shock,Shell,5,0.0003026750315850535,0.0002397792177533109,0.015787525464617102,0.021568591222732747,-0.00014621817350961573,-0.00976497756601391,0.6,0.6,0.1280901122056286
Geopolitical shock,Oil Services ETF,5,-0.0023724271690435117,-0.0030847918938217145,0.012342055121854534,0.01721532208305538,0.002638341781851361,0.004327956195786875,0.4,0.4,-0.014986055637874928
Geopolitical shock,BP,5,0.002933597154256495,0.0010483168605901483,0.011895394869449549,0.01748894253920297,-0.004822836626060645,-0.009159665880927781,0.6,0.6,0.12370692136806313
Geopolitical shock,Chevron,5,-0.002130274768157414,-0.006284633878260282,0.011234297205939003,0.014648222848463085,0.009255332388542148,0.018320868253410505,0.4,0.4,-0.00826911746110853
Geopolitical shock,Energy ETF,5,-0.0014470601491318514,-0.003963105471649353,0.010957190112613691,0.014632480849084835,0.007877370325763477,0.009845887885677352,0.4,0.4,-0.01163238619099646
Geopolitical shock,ExxonMobil,5,-0.003886071663025947,-0.006448165726794408,0.010045973275386033,0.011712993650464073,-4.8530386744771724e-05,-0.0008489621479607745,0.4,0.4,-0.021711241326463654
Geopolitical shock,TotalEnergies,5,-0.00187879169887748,0.0015571343178608643,0.009407314881766115,0.013649953185627521,-0.016850597190652516,-0.018817930666825643,0.6,0.6,0.1570624533301469
Geopolitical shock,Utilities ETF,5,4.310385631578484e-05,0.0014598785851218654,0.0074860392656357355,0.009147562295504386,-0.00022558498921327886,0.0024667149869363582,0.6,0.6,-0.004478894463142624
Geopolitical shock,Airlines ETF,5,-0.0006491585124599019,0.0012350628856037105,0.006438730674285775,0.008758580303312178,0.005301449078524612,-0.003526049256624919,0.6,0.6,0.07513769477210257
Government intervention,Brent Crude,2,-0.013696583789830408,-0.013696583789830408,0.021757302384380006,0.030769472112642682,-0.014680778239338943,-0.031383897254314064,0.5,0.5,-0.29228135657570253
Government intervention,Oil Services ETF,2,0.017951590949678076,0.017951590949678076,0.017951590949678076,0.000935982071616703,0.020037093237267767,0.04272086322689994,1.0,0.0,-0.25832307180341824
Government intervention,TotalEnergies,2,0.017181545931843123,0.017181545931843123,0.017181545931843123,0.01814398113738822,-0.010807255493652856,-0.008733187248818552,1.0,0.0,-0.08993475927646774
Government intervention,Utilities ETF,2,-0.002864168621056984,-0.002864168621056984,0.013997157039120522,0.019794969319390277,-0.006601357237916328,0.010224013546053345,0.5,0.5,-0.005548750727467355
Government intervention,WTI Crude,2,0.0002529197911391168,0.0002529197911391168,0.013158812128664044,0.01860937057707627,-0.010687945096829354,-0.02256495147025067,0.5,0.5,-0.26312735605944804
